index,Vietnamese,Rating,emotion
35,"[ Seller replied ]Chào bạn, Tefal rất lấy làm tiếc và chân thành xin lỗi bạn vì trải nghiệm mua sắm chưa tốt của bạn gian hàng. Tefal cũng đã liên hệ để hỗ trợ đổi trả sản phẩm cho bạn qua mục chat trên lazada, bạn hãy kiểm tra tin nhắn giúp Tefal nha. Gian hàng cũng xin phép gửi bạn một voucher mua sắm qua kênh chat thay cho lời xin lỗi chân thành nhất từ gian hàng. Đối với lần mua hàng tiếp theo tại gian hàng, Tefal sẽ kiểm tra thật kỹ sản phẩm cũng như kiện hàng trước khi giao đến bạn ạ. Chúc bạn và những người thân yêu có thật nhiều sức khỏe !",5,positive
36,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn bạn đã chia sẻ đánh giá cho sản phẩm của gian hàng. Tefal rất mong nhận được phản hồi thêm từ bạn về sản phẩm để có thể cải thiện và nâng cao chất lượng hơn trong tương lai. Nếu cần hỗ trợ thêm thông tin gì về sản phẩm hoặc chương trình khuyến mãi, bạn đừng ngại liên hệ lại với gian hàng qua kênh chat nha. Chúc bạn và những người thân yêu có thật nhiều sức khỏe !",5,positive
37,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn bạn đã chia sẻ đánh giá cho sản phẩm của gian hàng. Tefal rất mong nhận được phản hồi thêm từ bạn về sản phẩm để có thể cải thiện và nâng cao chất lượng hơn trong tương lai. Nếu cần hỗ trợ thêm thông tin gì về sản phẩm hoặc chương trình khuyến mãi, bạn đừng ngại liên hệ lại với gian hàng qua kênh chat nha. Chúc bạn và những người thân yêu có một năm mới bình an, hạnh phúc!",5,positive
38,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn bạn đã chia sẻ đánh giá tích cực cho sản phẩm của gian hàng. Nếu cần hỗ trợ thêm thông tin gì về sản phẩm hoặc chương trình khuyến mãi, bạn đừng ngại liên hệ lại với gian hàng qua kênh chat nha. Chúc bạn và những người thân yêu có thật nhiều sức khỏe !",5,positive
39,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn bạn đã chia sẻ đánh giá tích cực cho sản phẩm của gian hàng. Nếu cần hỗ trợ thêm thông tin gì về sản phẩm hoặc chương trình khuyến mãi, bạn đừng ngại liên hệ lại với gian hàng qua kênh chat nha. Chúc bạn và những người thân yêu có một năm mới bình an, hạnh phúc!",5,positive
40,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn bạn đã chia sẻ đánh giá tích cực cho sản phẩm của gian hàng. Nếu cần hỗ trợ thêm thông tin gì về sản phẩm hoặc chương trình khuyến mãi, bạn đừng ngại liên hệ lại với gian hàng qua kênh chat nha. Chúc bạn và những người thân yêu có thật nhiều sức khỏe.",5,positive
41,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn bạn đã chia sẻ đánh giá tích cực cho sản phẩm của gian hàng. Nếu cần hỗ trợ thêm thông tin gì về sản phẩm hoặc chương trình khuyến mãi, bạn đừng ngại liên hệ lại với gian hàng qua kênh chat nha. Chúc bạn và những người thân yêu có thật nhiều sức khỏe!",5,positive
42,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn bạn đã chia sẻ đánh giá tích cực cho sản phẩm của gian hàng. Nếu trong quá trình sử dụng sản phẩm mình có bất kỳ thắc mắc gì thì đừng ngại vào chat với Tefal nha. Chúc bạn và những người thân yêu có thật nhiều sức khỏe.",5,positive
43,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn bạn đã chia sẻ hình ảnh sản phẩm cho gian hàng. Nếu trong quá trình sử dụng sản phẩm mình có bất kỳ thắc mắc gì thì đừng ngại vào chat với Tefal nha. Chúc bạn và những người thân yêu có thật nhiều sức khỏe.",5,positive
44,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn bạn đã chia sẻ trải nghiệm cho sản phẩm của gian hàng. Đối với thông tin chia sẻ từ bạn, Tefal xin ghi nhận và sẽ trao đổi lại bộ phận liên quan nhằm cải thiện sản phẩm và nâng cao chất lượng dịch vụ hơn trong tương lai. Nếu cần hỗ trợ thêm thông tin gì về sản phẩm hoặc chương trình khuyến mãi, bạn đừng ngại liên hệ lại với gian hàng qua kênh chat nha. Chúc bạn và những người thân yêu có thật nhiều sức khỏe !",5,positive
45,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn bạn đã chia sẻ trải nghiệm cho sản phẩm của gian hàng. Nếu cần hỗ trợ thêm thông tin gì về sản phẩm hoặc chương trình khuyến mãi, bạn đừng ngại liên hệ lại với gian hàng qua kênh chat nha. Chúc bạn và những người thân yêu có thật nhiều sức khỏe !",5,positive
46,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn bạn đã chia sẻ trải nghiệm tích cực cho sản phẩm của gian hàng. Nếu cần hỗ trợ thêm thông tin gì về sản phẩm hoặc chương trình khuyến mãi, bạn đừng ngại liên hệ lại với gian hàng qua kênh chat nha. Chúc bạn và những người thân yêu có thật nhiều sức khỏe.",5,positive
47,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn bạn đã chia sẻ trải nghiệm tích cực cho sản phẩm của gian hàng. Nếu trong quá trình sử dụng sản phẩm mình có bất kỳ thắc mắc gì thì đừng ngại vào chat với Tefal nha. Chúc bạn và những người thân yêu có thật nhiều sức khỏe.",5,positive
48,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn bạn đã dành thời gian thời gian đánh giá sản phẩm của gian hàng. Nếu trong quá trình sử dụng sản phẩm mình có bất kỳ thắc mắc gì thì đừng ngại vào chat với Tefal nha. Chúc bạn và những người thân yêu có thật nhiều sức khỏe !",5,positive
49,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn đánh giá 5 sao của bạn về chất lượng sản phẩm và dịch vụ của gian hàng. Mong bạn sẽ luôn tiếp tục ủng hộ Tefal trong tương lai và đừng quên giới thiệu gian hàng cho người thân và bạn bè nữa nha! Chúc bạn một năm mới an khang thịnh vượng!",5,positive
50,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn đánh giá 5 sao của bạn về chất lượng sản phẩm và dịch vụ của gian hàng. Mong bạn sẽ luôn tiếp tục ủng hộ Tefal trong tương lai và đừng quên giới thiệu gian hàng cho người thân và bạn bè nữa nha! Chúc bạn và những người thân yêu có thật nhiều sức khỏe !",5,positive
51,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn đánh giá 5 sao của bạn về chất lượng sản phẩm và dịch vụ của gian hàng. Mong bạn sẽ luôn tiếp tục ủng hộ Tefal trong tương lai và đừng quên giới thiệu gian hàng cho người thân và bạn bè nữa nha!Chúc bạn và những người thân yêu có thật nhiều sức khỏe !",5,positive
52,"[ Seller replied ]Chào bạn, Tefal xin cảm ơn đánh giá tích cực của bạn về chất lượng sản phẩm và dịch vụ của gian hàng. Mong bạn sẽ luôn tiếp tục ủng hộ Tefal trong tương lai và đừng quên giới thiệu gian hàng cho người thân và bạn bè nữa nha! Chúc bạn và những người thân yêu có thật nhiều sức khỏe !",5,positive
53,"[Nồi chiên không dầu 4L2 nút cảm ứng] Tặng kèm bình đun siêu tốc giá 2tr5. + Sản phẩm khi dùng chiên phải trở mặt nếu không sẽ không chính đều. Thời gian chiên khá lâu khoảng 20 đến 30p để chính đều hai mặt. Máy có chế độ hẹn giờ báo động. Máy chiên khá ồn! Được điểm cộng là dễ dàng vệ sinh và đăng ký bảo hành online nhanh và tiện. + Bình siêu tốc: đế đun nhựa mỏng, dây điện ngắn khá bất tiện, bình đun thiết kế không đẹp bằng các hãng khác. Đun sôi nhanh.",5,positive
54,"[TB] NHAN NGAY 1GB data toc do cao. Soan DK D5 gui 1311 chi voi 5.000d/ngay (Thue bao phai so huu goi data). (0d). Tu choi, soan TC gui 1311.",5,positive
55,0358574768 27 thg 2 2022,5,neutral
56,0368023985 01 thg 2 2022,5,neutral
57,0397961962 05 thg 2 2022,5,neutral
58,0788821187 18 thg 2 2022,5,neutral
59,0869689186 05 thg 2 2022,5,neutral
60,0906316039 10 thg 2 2022,5,neutral
61,0907774037 18 thg 2 2022,5,neutral
62,0908407104 11 thg 2 2022,5,neutral
63,0909492799 20 thg 2 2022,5,neutral
64,0909888532 10 thg 2 2022,5,neutral
65,0909900939 10 thg 2 2022,5,neutral
66,0912563493 14 thg 2 2022,5,neutral
67,0912563493 26 thg 2 2022,5,neutral
68,0915518000 05 thg 2 2022,5,neutral
69,0917162505 23 thg 2 2022,5,neutral
70,0937701376 17 thg 2 2022,5,neutral
71,0972033636 27 thg 2 2022,5,neutral
72,0972240659 07 thg 2 2022,5,neutral
73,0973716125 13 thg 2 2022,5,neutral
74,0976228326 06 thg 2 2022,5,neutral
75,0978920222 29 thg 1 2021,5,neutral
76,0983640723 24 thg 2 2022,5,neutral
77,0986633186 06 thg 2 2022,5,neutral
78,0987393006 07 thg 2 2022,5,neutral
79,0987486368 10 thg 2 2022,5,neutral
80,1 đôi trông rất đẹp nhỏ xinh thôi và ung lắm chưa sử dụng nên k biết như thế nào cho sop 5 sao ủng hộ,1,negative
81,"1 từ TUYỆT. Giá săn sale 1tr898 ( tặng kèm chảo 20cm ) luôn ship. Rẻ so với chất lượng. máy sd núm cơ nên dễ sử dụng và chắc sẽ bền hơn màng hình điện tử. nướng thịt mền thơm, tư vấn nhanh và chuẩn xác. mình rất hài lòng. mn nên mua nha.",5,positive
82,"1. Giao hàng nhanh mặc dù mình ở xã.
2. Đóng gói tạm ổn, hộp đến tay khá móp méo.
3. Đủ hàng và đúng sản phẩm theo đơn đặt hàng.
4. Sản phẩm đúng mô tả, xứng đáng trong tầm giá.
5. Sản phẩm tốt, nên mua.",5,positive
83,1. Giao hàng nhanh. 2. Đóng gói tạm ổn. 3. Đơn hàng đúng thông tin. 4. Sản phẩm bị móp méo yêu cầu đồi hàng mới --- Lazada đã liên hệ thu hồi hàng. Gian hàng đã gửi sorry voucher và gọi cho mình để hỗ trợ,5,positive
84,"1. Hàng hóa đúng mô tả và thông tin kèm.

2. Đóng gói chắc và kỹ càng.

3. Không có địa chỉ và thông tin cửa hàng bảo hành cách nào. 
Quý khách mua cần lưu ý việc này để khi cần bảo hành chịu thiệt hại.

* Phản ánh được cửa hàng quân tâm khách hàng.
* Cám ơn AC.",5,positive
85,1000*cảm ơn shop,5,positive
86,"100đ cho giao hàng lzd, giao quá nhanh, đóng hàng siêu kĩ, máy dùng tốt, xay nhuyễn ở mức vừa.",5,positive
87,"11/11 Áp mã tích luỹ của Lazada, giao hàng nhanh trong ngày. Hi vọng nồi xài tốt. Đặt hàng khung 0-2h hi vọng được quà tặng ^_^",5,positive
88,"11đ cho khâu đóng gói vô cùng chất lượng của Lazada. Phải thế thì những vật dễ vỡ, móp méo mới an tâm. Về sản phẩm thì đẹp, chắc tay, khả năng chống dính và vệ sinh cần tg để test.",5,positive
89,"12.12 săn sale giá mềm mà lại đc tặng thêm 1 cái nồi nữa, quá tuyệt. giao hàng nhanh, đóng gói cẩn thận. nồi cũng quá đẹp. ưng ý hết sức. tặng mẹ bộ nồi thật quá hài lòng",5,positive
90,"2 cái đều có vết lõm ở cạnh chảo và cạnh đáy dưới vành nhiễm từ giống như vết dao chém, có nhiều vết xước ở lòng chảo,nhưng tôi vẫn chấp nhận mua.Laz kiểm tra xem đơn hàng.hai bẩy hai một tám chín ba bốn bốn năm hai chín một chín ba , tôi đã hoàn trả từ ngày . hai sáu tháng một năm hai mươi đến nay ngày hai mươi tháng hai năm hai một tôi vẫn chưa nhận được hoàn tiền từ Laz vì trong lòng chảo chống dính bị nhiều vêt xước nặng..Cám ơn",5,positive
91,"2 chảo 8xx thì mình thấy khá rẻ, chỉ nhỉnh hơn những sản phẩm son nồi thông thường. Mẫu mã đẹp, sang trọng, khác hoàn toàn bộ son nồi cũ của gia đình mình. Báo đỏ giữa chảo thuận tiện cho người nấu ăn, khi nào là chảo đã đủ độ nóng cần thiết, điểm + cho sự sáng tạo của Tefal Vân đá dễ vệ sinh hơn kim loại thông thường theo mình thấy Sản phẩm được đóng gói kĩ lưỡng, không bị móp méo trong quá trình vận chuyển Lazada giao hàng nhanh, thân thiện 5* cho cả 2",5,positive
92,"2 chảo dày, chắc chắn, đẹp. Nồi to, hơi mỏng. Tổng thể 3 món 600k thì 5 sao, rất ưng. Giao hàng rất lâu",5,positive
93,"2 chảo nhìn OK, lazada đóng hàng siêu kỹ có cả chống sốc trong và ngoài thùng, chèn lót thêm để thùng chặt!",5,positive
94,"24cm-28cm thì đẹp, 20cm nhỏ quá ,tăng giá cho chảo to lên :) cảm ơn shop nhiều nhé, chúc shop sức khỏe và mua may bán đắt",5,positive
95,2chao rất ok không móp méo đóng gói rất cẩn thận còn chất lượng thì chưa biết để xài mới biết có bền không,4,positive
96,3 chảo đẹp đống gói kỉ vân đá xuất sắc.... săn được trong đợt sale 🤣 mà giao hơi lâu nhé shop...nhắc mãi mới chịu đóng gói...vì vậy 4* cho chất lượng phục vụ ....nhưng vẫn cho 5* vì nhà tefal đầu tư nhiều trong chém giá😍 #ảnh mang tính chất kiếm xu thôi nhé mọi người!,5,positive
97,349842938 22 thg 2 2022,5,neutral
98,354919228 24 thg 2 2022,5,neutral
99,355789343 11 thg 2 2022,5,neutral
100,356916661 12 thg 2 2022,5,neutral
101,368763598 26 thg 2 2022,5,neutral
102,379583437 23 thg 2 2022,5,neutral
103,384598648 22 thg 2 2022,5,neutral
104,393675995 23 thg 2 2022,5,neutral
105,"5 sao cho shop giao hàng và đóng gói. Nồi đẹp, rất xịn sò. chạy êm, thịt nướng ngon, nói chung ok. độ bền thì phải dùng lâu mới biết",5,positive
106,782066646 17 thg 2 2022,5,neutral
107,782066646 18 thg 2 2022,5,neutral
108,782066646 21 thg 2 2022,5,neutral
109,796623776 20 thg 2 2022,5,neutral
110,902895079 01 thg 2 2022,5,neutral
111,903828482 21 thg 2 2022,5,neutral
112,905987956 25 thg 2 2022,5,neutral
113,908977697 07 thg 2 2022,5,neutral
114,918509257 01 thg 2 2022,5,neutral
115,924651757 20 thg 2 2022,5,neutral
116,934556690 18 thg 2 2022,5,neutral
117,936155685 07 thg 2 2022,5,neutral
118,936439007 11 thg 2 2022,5,neutral
119,941196447 02 thg 2 2022,5,neutral
120,968684598 15 thg 2 2022,5,neutral
121,979366978 08 thg 2 2022,5,neutral
122,981177180 19 thg 2 2022,5,neutral
123,987757780 11 thg 2 2022,5,neutral
124,"ấm chắc chắn, đẹp, đun nhanh. rất hài lòng",5,positive
125,"ấm chắc chắn, hoàn thiện đẹp. mặc dù là hàng tặng nhưng rất hài lòng.",5,positive
126,Ấm đẹp,5,positive
127,Ấm đẹp bền chất liệu tốt,5,positive
128,Ấm đẹp nhưng dây siêu ngắn. Phải nối thêm,4,positive
129,"ấm đẹp, giao hàng nha hơn dự kiến, anh shipper thực hiện 5k tốt",5,positive
130,"Ấm đẹp, giao hàng nhanh",5,positive
131,Ấm đẹp. Nhìn chắc chắn. Nhưng hơi nhỏ dùng cá nhân là hợp lí. Nên mua về để sử dụng. Giao hàng hơi lâu,5,positive
132,"Ấm điện siêu tốc, nhỏ nhắn xinh xắn, thiết kế chăcs chắn. Đun nước nhanh, thích hớpj để đun nước pha trà, cà phê.",5,positive
133,"ấm đun đẹp, đun nước nhanh, không ồn! có chỉnh nhiệt độ đun rất tiện dụng! gói hàng chắc chắn, giao hàng nhanh! hài lòng",5,positive
134,"Ấm đun nhanh, chắc chắn, hình thức đẹp, nên mua",5,positive
135,"âm đun nhanh, xinh lắm",5,positive
136,"Ấm đun tặng kèm nồi chiên không dầu. Nhỏ gọn, nhìn chắc chắn, thích mắt lắm. Giao hàng nhanh lắm nha",5,positive
137,"Ấm đun thích lắm nhé mọi người, mình dùng hình ảnh lấy trên trang.",5,positive
138,"Ấm đun tốt, tuy nhiên điểm trừ là dung tích hơi nhỏ. Hàng free nên đành chấp nhận",5,positive
139,ấm được khuyến mãi theo nồi chiên mình chưa dùng nhung nhìn bên ngoài rất đẹp,5,positive
140,"Ấm mini nhỏ xinh,shop đóng gói cẩn thận",5,positive
141,"Ấm nhìn đẹp, nấu nhanh sôi. Có điều nắp mở hơi cứng k bật mạnh như cỡ ấm 1,2l của tefal. Giờ hàng nhanh",5,positive
142,"Ấm nhỏ gọn, đúng hàng Tefal, shop giao hàng nhanh.",5,positive
143,"ấm nước được tặng hàng đẹp, xài ok",5,positive
144,"Ấm rất đẹp và sang, dung tích lớn , đun sôi nhanh. Có 2 chế độ đun và giữ ấm theo nhiệt độ sẵn. Bên trong inox bên ngoài là nhựa. Nhưng nếu bị trầy thì rất dễ nhìn thấy. Mua sale 10.10 giao nhanh trong vòng 2 ngày. Kích hoạt bảo hành onl",5,positive
145,"Ấm rất nhỏ xinh, đúng với ý thích. Tuy nhiên lúc đun thử thì chỗ cầm hơi nóng lên. Như vậy sẽ hơi bất tiện nếu cần đun 2-3 ấm liên tục. Trừ 1 sao vì nhược điểm này.",5,positive
146,"Ấm siêu dễ thương ❤️ Cám ơn Laz đã rất nhiệt tình,cố gắng giao cho được hàng tới tay khách hàng trong lúc dịch bệnh căng thẳng.",5,positive
147,"ấm sz mini rất xinh, đúng siêu tốc dùng pha cf ,,độ bền chưa biết ntn ,,giá cũng chưa tốt lắm",4,positive
148,"Ấm xịn, đẹp",5,positive
149,"ấm xinh xinh,hài lòng",5,positive
150,"Ấm xinh, dễ thương, giao hàng cực nhanh, đóng gói quá kỹ, làm mở hàng mắc mợt luôn hà. Ko bao giờ thất vọng Tefal",5,positive
151,"Ấm xinh, gọn. Đẹp",5,positive
152,"Ấn khuyến mại, dáng đẹp, nóng nhanh.",5,positive
153,"Ẩn phẩm đóng gói kỹ càng, hàng tặng cũng rất okela Mới test bên ngoài, chưa xài nên chưa đánh giá đc chất lượng ra sao",5,positive
154,Anh Q. 10 thg 2 2022,5,neutral
155,ank D. 19 thg 2 2022,5,neutral
156,Ban đầu cứ lo bộ chảo này bị móp méo. Nhưng may mắn là không cái nào bị. Nhìn mẫu mã đẹp. Sử dụng xem mới biết bền không,5,positive
157,Ban dau Hang giao nhanh nhung Noi bi meo’ nen khong the day nap vung. Tuy nhien hang da nhiet tinh lien he lai de doi tra noi moi,5,positive
158,Bàn là chắc chắn phun hơi nước có gì trắng trắng ra nhưng chắc do bàn là sử dụng lần đầu. Là nhanh thẳng,5,positive
159,Bàn là màu sắc và mẫu mã đẹp. Cầm chắc tay là rất thích ạ 😍,5,positive
160,Bán toàn đồ móp không,1,negative
161,bàn ủi bị lỗi kỹ thuật k phun hơi,1,negative
162,"bàn ủi cầm chắc tay, ủi nhanh thẳng đồ, ủi được 4 cái áo, rất hài lòng, sản phẩm tuyệt vời, mua được giá giảm",5,positive
163,"Bàn ủi chỉ cho vào tí nước thôi, cho nhiều nước vào là nó chảy ra ướt luôn quần áo! Với giá trị hơn 2tr mà chất lượng thì không tương xứng. Mình chat trao đổi về bàn ủi bị chảy nước khi ủi thì vứt cho mình cái số dt của bảo hành và tự xử. Bán hàng lấy tiền rồi thôi, còn thế nào thì ko quan tâm.. ",1,negative
164,Bàn ủi đẹp tốt,5,positive
165,"Bàn ủi đẹp, đóng gói chắc chắn. Hàng KM xịn xò 😘",5,positive
166,"Bàn ủi đẹp, giao hàng đóng gói cẩn thận! Không bị bể hay lỗi gì cả, thank shoppp",5,positive
167,"Bàn ủi đẹp, nặng, ủi nhanh thẳng quần áo. Túm lại là xài rất thich! Giao hàng lần này nhanh lắm.",5,positive
168,"Bàn ủi đẹp,thử nóng, chưa sử dụng, xài tốt sẽ nhận xét tiếp, giao hàng nhanh, đóng hàng cẩn thận, tặng shop 5sao",5,positive
169,Bàn ủi đẹp. Có điều chỉ ủi được áo mỏng. Vải linen hay vải dày xíu là ko thẳng được,5,positive
170,"Ban ui dung tot. Ma ship hoi lâu, ui do nhanh khong so bi chay quan ao . Minh thay tien loi khi hi do",5,positive
171,"Bàn ủi mở ra là thấy hộp đựng nước chưa sdung mà đã có hơn nước, nút đậy đóng bẩn có vẻ như máy đã đc xài.  Tuy nhiên mở máy lên bấm.hút chỉ kêu cạch cạch ko sdung đc",2,negative
172,Bàn ủi này mình mua lần thứ 2. Hy vọng nó cũng tốt như cái trước đó. Giao hàng nhanh. 5 sao,5,positive
173,bàn ủi rẻ mà ở ngoài đẹp kinh....mình nhận đc do dùng xu mà ko ngờ chất lượng ko thể mong đợi hơn 😍 ở ngoài đẹp hơn nhiều lần trong hình nhé mn😍,5,positive
